CompanyName,Symbol,Sector,CompanyId,SecurityId
"Top Frontier Investment Holdings, Inc.",TFHI,Holding Firms,650,595
Top Line Business Development Corp.,TOP,Industrial,706,724
"Harbor Star Shipping Services, Inc.",TUGS,Services,644,587
Union Bank of the Philippines,UBP,Financials,167,115
Uniholdings Inc.,UNH,Industrial,22,367
United Paragon Mining Corporation,UPM,Mining and Oil,168,334
Upson International Corp.,UPSON,Services,700,695
Universal Robina Corporation,URC,Industrial,124,167
"Vantage Equities, Inc.",V,Financials,65,135
Vitarich Corporation,VITA,Industrial,28,168
"Vista Land & Lifescapes, Inc.",VLL,Property,607,530
"Victorias Milling Company, Inc.",VMC,Industrial,123,415
"VistaREIT, Inc.",VREIT,Property,695,690
Vivant Corporation,VVT,Industrial,79,133
PhilWeb Corporation,WEB,Services,122,136
"Wellex Industries, Incorporated",WIN,Holding Firms,90,229
"Wilcon Depot, Inc.",WLCON,Services,665,632
"Waterfront Philippines, Incorporated",WPI,Services,173,228
Xurpas Inc.,X,"Small, Medium & Emerging Board",656,607
NexGen Energy Corp.,XG,"Small, Medium & Emerging Board",705,717
"Zeus Holdings, Inc.",ZHI,Holding Firms,89,232
